Código,Paquete (Nivel 1),Subpaquete (Nivel 2),Capacidad de Procesos (Nivel 3),Descripción,Categoría,Dueño de la Capacidad,Dominio,Subdominio Nivel 1,Subdominio Nivel 2,Propia / Heredada,Reusable,Componentes Relacionados,Arquetipos Relacionado,% Nivel de Calidad,Criterios a Revisar,Retroalimentación,Estado,,
CP0005,Gestión estrategia de cumplimientostrategia de cumplimiento,Direccionamiento estrategico de cumplimiento,Definir estrategia de riesgos de cumplimiento.,"Establece la visión y objetivos estratégicos para la gestión de riesgos de cumplimiento, asegurando alineación con la normativa y los objetivos corporativos.",,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0006,Gestión estrategia de cumplimientostrategia de cumplimiento,Direccionamiento estrategico de cumplimiento,Definir lineamientos de riesgos de cumplimiento.,Define principios y directrices que orientan la gestión de riesgos en toda la organización.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0007,Gestión estrategia de cumplimientostrategia de cumplimiento,Direccionamiento estrategico de cumplimiento,Definir metodologías de riesgos de cumplimiento. ,"Diseña métodos y herramientas para identificar, evaluar y mitigar riesgos de cumplimiento.",,,Habilitación empresarial,Cumplimiento,,,No,,,90%,"5,13","Evitar mencionar “métodos y herramientas” en la descripción; enfocar en el resultado (“metodologías definidas”). Reescribir la descripción al “qué” (p. ej., “Establece criterios y enfoque metodológico para identificar, evaluar y mitigar riesgos”). Mantener la alineación con riesgos de cumplimiento sin detallar el “cómo”.",Publicada,,
CP0008,Gestión estrategia de cumplimientostrategia de cumplimiento,Direccionamiento estrategico de cumplimiento,Divulgar direccionamiento de riesgos de cumplimiento.,Comunica la estrategia y lineamientos a las partes interesadas para garantizar su implementación.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0009,Gestión estrategia de cumplimientostrategia de cumplimiento,Direccionamiento estrategico de cumplimiento,Monitorear metodologías de riesgos de cumplimiento.,Supervisa la aplicación de metodologías para asegurar su efectividad y actualización.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
CP0010,Gestión estrategia de cumplimientostrategia de cumplimiento,Direccionamiento estrategico de cumplimiento,Identificar cambios metodologicos.,Detecta necesidades de ajuste en las metodologías por cambios regulatorios o internos.,,,Habilitación empresarial,Cumplimiento,,,No,,,90%,"6,12","Especificar el objeto y alcance en el nombre (p. ej., “Identificar cambios metodológicos de riesgos de cumplimiento”). Ajustar la descripción para que se entienda sin contexto externo y quede explícito “qué” se identifica. Mantener consistencia terminológica (metodológicos).",Publicada,,
CP0011,Gestión estrategia de cumplimientostrategia de cumplimiento,Direccionamiento estrategico de cumplimiento,Medir cambios Metodologicos.,Evalúa el impacto de las modificaciones en la gestión de riesgos.,,,Habilitación empresarial,Cumplimiento,,,No,,,90%,"6,12","Precisar alcance en el nombre (p. ej., “Medir impacto de cambios metodológicos de riesgos de cumplimiento”). Hacer que la capacidad se entienda por sí sola, indicando el objeto funcional completo. Unificar estilo y ortografía (“metodológicos”).",Publicada,,
CP0012,Gestión estrategia de cumplimientostrategia de cumplimiento,Direccionamiento estrategico de cumplimiento,Diseñar cambios metodologicos.,Desarrolla nuevas versiones de metodologías para mejorar la gestión de riesgos.,,,Habilitación empresarial,Cumplimiento,,,No,,,90%,"6,12","Completar el objeto funcional en el nombre (p. ej., “Diseñar cambios metodológicos de riesgos de cumplimiento”). Redactar la descripción para que sea autocontenida y centrada en el entregable (nueva versión/cambio metodológico). Corregir consistencia (“metodológicos”).",Publicada,,
CP0013,Gestión estrategia de cumplimientostrategia de cumplimiento,Direccionamiento estrategico de cumplimiento,Actualizar Metodologías.,Implementa las modificaciones aprobadas en los procesos de riesgo.,,,Habilitación empresarial,Cumplimiento,,,No,,,85%,"6,12,13","Especificar qué metodologías (p. ej., “Actualizar metodologías de riesgos de cumplimiento”). Evitar describir el “cómo” de implementación (“en los procesos”); enfocar en el resultado (“metodologías actualizadas y vigentes”). Mantener la descripción como capacidad estable, no como paso operativo.",Publicada,,
CP0014,Gestión estrategia de cumplimientostrategia de cumplimiento,Direccionamiento estrategico de cumplimiento,Definir marco de actuación corporativo.,Establece las normas y principios que rigen el comportamiento ético y regulatorio.,,,Habilitación empresarial,Cumplimiento,,,No,,,100%,Ninguno,Definición adecuada según los criterios establecidos.,Publicada,,
