t2.actividad,codigo_proceso,matched_codigo_arquetipo,matched_nombre_arquetipo,Capacidad de Procesos (Nivel 3),Código Capacidad,Arquetipos Relacionado
recibir solicitud ,PAN040102,ARQ002,Abrir producto,Recibir solicitud,,
m: gestión de servicios corporativos p: custodiar documentos pagaré panamá ,PAN040102,ARQ002,Abrir producto,Custodiar documento,,Procesar documento
notificar inconsistencias ,PAN040102,ARQ002,Abrir producto,Notificar inconsistencias,,
recibir solicitud de apertura ,PAN040103,ARQ002,Abrir producto,Recibir solicitud,,
notificar inconsistencias ,PAN040103,ARQ002,Abrir producto,Notificar inconsistencias,,
m: gestión de servicios administrativos p: custodiar documentos pagaré panamá ,PAN040103,ARQ002,Abrir producto,Custodiar documento,,Procesar documento
documentar caso ,PAN040103,ARQ002,Abrir producto,Documentar caso de investigaciÃ³n.,,
recibir documentos ,PAN040107,ARQ002,Abrir producto,Recibir documentos comerciales,,
gestionar y custodiar documentos ,PAN040107,ARQ002,Abrir producto,Custodiar documento,,Procesar documento
recibir solicitud de activación ,PAN040107,ARQ002,Abrir producto,Recibir solicitud,,
realizar ajuste ,PAN040107,ARQ002,Abrir producto,Realizar ajuste a la estructuraciÃ³n del producto,,Estructurar producto
recibir solicitud ,PAN040107,ARQ002,Abrir producto,Recibir solicitud,,
c004:gestionar alertas de derechos de petición ,T050301,ARQ027,Atender solicitudes de usuario,Gestionar alertas,,
generar reportes ,T070203,ARQ056,Administrar el servicio de los canales,Generar reportes de auditorÃ­as realizadas,,
monitorear experiencias ,T070203,ARQ056,Administrar el servicio de los canales,"Monitorear experiencias, ofertas y alianzas",,
monitorear experiencias ,T070203,ARQ056,Administrar el servicio de los canales,Monitorear experiencia,,Atender solicitudes de usuarios
monitorear experiencias ,T070203,ARQ056,Administrar el servicio de los canales,Monitorear experiencia,,Atender solicitudes de usuario
aplicar novedad ,T070203,ARQ056,Administrar el servicio de los canales,Aplicar novedad no financiera,,Aplicar novedad
aplicar novedad ,T070203,ARQ056,Administrar el servicio de los canales,Aplicar novedad financiera,,Aplicar novedad
gestionar novedades ,T070203,ARQ056,Administrar el servicio de los canales,Gestionar novedades para campos protegidos,,
solicitar ajuste ,T080902,ARQ123,Ejecutar cuadre contable del producto,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
realizar ajuste ,T080902,ARQ123,Ejecutar cuadre contable del producto,Realizar ajuste a la estructuraciÃ³n del producto,,Estructurar producto
certificar cuenta ,T080902,ARQ123,Ejecutar cuadre contable del producto,Certificar cuenta,,Ejecutar el cuadre contable del producto
c009 certificar cuenta ,T080902,ARQ123,Ejecutar cuadre contable del producto,Certificar cuenta,,Ejecutar el cuadre contable del producto
c005:certificar cuenta ,T080902,ARQ123,Ejecutar cuadre contable del producto,Certificar cuenta,,Ejecutar el cuadre contable del producto
informar resultado ,T081001,ARQ123,Ejecutar cuadre contable del producto,Emitir e informar resultado,,
notificar inconsistencia ,T081001,ARQ123,Ejecutar cuadre contable del producto,Notificar inconsistencias,,
generar alerta ,T081001,ARQ123,Ejecutar cuadre contable del producto,Generar alerta documental,,Procesar documento
generar alerta ,T081001,ARQ123,Ejecutar cuadre contable del producto,Generar alertas de eventos o inconsistencias,,
escalar novedad ,T081001,ARQ123,Ejecutar cuadre contable del producto,Escalar novedades,,
conciliar transacciones ,T081001,ARQ123,Ejecutar cuadre contable del producto,Conciliar transacciones y registros operativos,,
atender requerimientos ,T081001,ARQ123,Ejecutar cuadre contable del producto,Atender requerimientos de auditorÃ­a,,
solicitar ajuste ,T081001,ARQ123,Ejecutar cuadre contable del producto,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
gestionar alerta ,T081001,ARQ123,Ejecutar cuadre contable del producto,Gestionar alertas,,
generar documentos de pago ,T081001,ARQ123,Ejecutar cuadre contable del producto,Generar documento,,Abrir producto
generar documentos de pago ,T081001,ARQ123,Ejecutar cuadre contable del producto,Generar documento,,Aplicar novedad
generar documentos ,T160065,ARQ002,Abrir producto,Generar documento,,Abrir producto
generar documentos ,T160065,ARQ002,Abrir producto,Generar documento,,Aplicar novedad
recibir solicitud y hacer validaciones ,T160065,ARQ002,Abrir producto,Recibir solicitud,,
recibir solicitud y cargar plantilla en ruta controles ,T160065,ARQ002,Abrir producto,Recibir solicitud,,
recibir solicitud del área comercial de créditos capitalizables ,T160100,ARQ022,Generar información,Recibir solicitud,,
calcular valor a cobrar por intereses ,T160100,ARQ005,Aplicar novedad,Calcular valor a cobrar,,Ejecutar transacciones monetarias
calcular valor a cobrar por intereses ,T160100,ARQ005,Aplicar novedad,Calcular valor a cobrar,,Ejecutar transacciÃ³n monetaria
notificar inconsistencia ,T160100,ARQ022,Generar información,Notificar inconsistencias,,
c010: recibir solicitud de modificación de las condiciones de crédito ,T160100,ARQ005,Aplicar novedad,Recibir solicitud,,
recibir solicitud de beneficio aprogresar ,T160100,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
recibir solicitud del outsourcing ,T160100,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
generar informes de monitoreo ,T160100,ARQ013,Ejecutar transacción monetaria,Generar informes de monitoreo,,
generar alerta ,T160100,ARQ005,Aplicar novedad,Generar alerta documental,,Procesar documento
generar alerta ,T160100,ARQ005,Aplicar novedad,Generar alertas de eventos o inconsistencias,,
recibir solicitud generación de paz y salvo para obligación ,T160107,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
notificar inconsistencias ,T160107,ARQ005,Aplicar novedad,Notificar inconsistencias,,
cerrar solicitud ,T160107,ARQ005,Aplicar novedad,Cerrar solicitudes de cumplimiento,,
cerrar solicitud ,T160107,ARQ005,Aplicar novedad,Cerrar solicitud novedad,,
conciliar cuentas ,T160107,ARQ013,Ejecutar transacción monetaria,Conciliar cuentas puente,,
atender solicitud ,T160108,ARQ005,Aplicar novedad,Atender solicitudes de entes externos.,,
atender solicitud ,T160108,ARQ005,Aplicar novedad,Atender solicitudes de desembolso,,
atender solicitud ,T160108,ARQ005,Aplicar novedad,Atender solicitudes AQR's ,,
atender solicitud ,T160108,ARQ005,Aplicar novedad,Atender solicitudes del usuario,,
recibir solicitud de mantenimiento por parte del cliente ,T160108,ARQ005,Aplicar novedad,Recibir solicitud,,
recibir solicitud y revisar validaciones ,T160108,ARQ005,Aplicar novedad,Recibir solicitud,,
contactabilidad ,T160108,ARQ005,Aplicar novedad,Ejecutar misiones mediante contactabilidad,,Ninguno
contactabilidad ,T160108,ARQ005,Aplicar novedad,Recomendar ajustes de contactabilidad,,Ninguno
contactabilidad ,T160108,ARQ005,Aplicar novedad,Generar la instrucciÃ³n de contactabilidad,,Abrir producto
contactabilidad ,T160108,ARQ005,Aplicar novedad,Generar la instrucciÃ³n de contactabilidad,,Atender solicitudes de usuarios
