Código,Nombre de la Actividad,Descripción Funcional,Prioridad de Reúso,Tipo de Elemento,Sinónimos (Variantes),Dominio de Arquitectura,Arquetipos en  donde aplica,Hipervinculo,Diseño para la Automatización
CMC01,Enviar Comunicación Notificación,"Enviar una comunicación o notificación a los destinatarios definidos, asegurando su entrega oportuna por los canales disponibles y dejando evidencia de la remisión.",1,Componente de Procesos,"Notificar cliente, Comunicar decisión, Informar resultado",No aplica Dominio AP,No aplica Arquetipo,https://bancolombia.sharepoint.com/:u:/r/sites/co-apr/Documentos%20compartidos/Dise%C3%B1o/Componentes%20reusables/CMC01%20Enviar%20comunicaci%C3%B3n-notificaci%C3%B3n.bpm,Diseño para la automatización CMC01
CMC02,Consultar Información De Clientes,"Consultar la información registrada del cliente aplicando los criterios definidos para obtener los datos relevantes de manera clara, oportuna y utilizable dentro del proceso.",1,Componente de Procesos,"Consultar cliente, Visualizar cliente, Revisar cliente",No aplica Dominio AP,No aplica Arquetipo,https://bancolombia.sharepoint.com/:u:/r/sites/co-apr/Documentos%20compartidos/Dise%C3%B1o/Componentes%20reusables/CMC02%20Consultar%20informaci%C3%B3n%20de%20clientes.bpm,Diseño para la automatización CMC02
CMC03,Actualizar Datos Del Cliente,"Actualizar en los sistemas los datos de un cliente para reflejar cambios legítimos en su información, asegurando que queden completos, vigentes y validados según los controles establecidos. Se utiliza cuando un cambio debe quedar registrado de forma oficial como dato maestro del cliente.",1,Componente de Procesos,"Modificar datos, Ajustar información, Actualizar información",No aplica Dominio AP,No aplica Arquetipo,,Diseño Pendiente
CMD01,Consultar Parámetros Funcionales De Sucursal,"Consultar los parámetros operativos de una sucursal —como estado, horarios, servicios o asociación comercial— para verificar que se encuentre habilitada para participar en procesos críticos del banco.",1,Componente de Procesos,"Consultar Sucursal, Consultar Oficina, Buscar Sucursal",No aplica Dominio AP,No aplica Arquetipo,,Diseño Pendiente
CMF01,Consultar Información Documental,"Consultar información documental digital disponible en los repositorios autorizados, accediendo al contenido según los criterios definidos para soportar actividades del proceso.",1,Componente de Procesos,"Consultar datos, Acceder información, Recuperar información",No aplica Dominio AP,No aplica Arquetipo,https://bancolombia.sharepoint.com/:u:/r/sites/co-apr/Documentos%20compartidos/Dise%C3%B1o/Componentes%20reusables/CMF01Consultar%20informaci%C3%B3n%20documental.bpm,Diseño para la automatización CMF01
CMF02,Custodiar Documento Digital,"Realizar la indexación y custodia de información almacenando y organizando los datos según las normas definidas, garantizando su seguridad, integridad y disponibilidad para uso posterior.",1,Componente de Procesos,"Indexar información, Almacenar información, Custodiar información",No aplica Dominio AP,No aplica Arquetipo,https://bancolombia.sharepoint.com/:u:/r/sites/co-apr/Documentos%20compartidos/Dise%C3%B1o/Componentes%20reusables/CMF02%20Realizar%20indexaci%C3%B3n%20y%20custodia%20de%20informaci%C3%B3n.bpm,Diseño para la automatización CMF02
CMF03,Extraer información del documento,Realizar la extracción y análisis de información obteniendo datos de documentos estructurados o no estructurados y verificando su completitud y coherencia antes de usarlos en el proceso.,1,Componente de Procesos,"Extraer información, Procesar datos, Analizar contenido",No aplica Dominio AP,No aplica Arquetipo,https://bancolombia.sharepoint.com/:u:/r/sites/co-apr/Documentos%20compartidos/Dise%C3%B1o/Componentes%20reusables/CMF03%20Realizar%20extracci%C3%B3n%20de%20informaci%C3%B3n%20documental.bpm,Diseño para la automatización CMF03
CMF04,Generar Documento Digital,"Generar un documento utilizando datos suministrados o un formato predefinido, dejándolo disponible como soporte formal para continuar con el proceso.",1,Componente de Procesos,"Elaborar documento, Emitir constancia, Crear soporte",No aplica Dominio AP,No aplica Arquetipo,https://bancolombia.sharepoint.com/:u:/r/sites/co-apr/Documentos%20compartidos/Dise%C3%B1o/Componentes%20reusables/CMF04%20Generar%20documento%20digital.bpm,Diseño para la automatización CMF04
CMF05,Clasificar Documento Digital,Realizar la clasificación de información organizando y catalogando los datos conforme a criterios documentales o del proceso para facilitar su consulta y uso.,1,Componente de Procesos,"Clasificar documento, Organizar archivo, Segmentar información",No aplica Dominio AP,No aplica Arquetipo,,Diseño Pendiente
CMF06,Consultar Información Externa,Consultar información proveniente de fuentes externas cuando se requiere complementar los datos internos para soportar decisiones o gestiones específicas del proceso.,1,Componente de Procesos,"Consultar fuente, Acceder datos, Obtener información",No aplica Dominio AP,No aplica Arquetipo,https://bancolombia.sharepoint.com/:u:/r/sites/co-apr/Documentos%20compartidos/Dise%C3%B1o/Componentes%20reusables/CMF06%20Consultar%20informaci%C3%B3n%20externa.bpm,Diseño para la automatización CMF06
CMF07,Consultar Centrales Externas,"Consultar información en centrales internas o externas que suministran datos especializados sobre riesgo, comportamiento o antecedentes, según los lineamientos regulatorios y corporativos.",1,Componente de Procesos,"Consultar historial, Verificar riesgo, Revisar antecedentes",No aplica Dominio AP,No aplica Arquetipo,Diseño para la automatización CMF07,Diseño para la automatización CMF07
CMF08,Consultar Grupo Conectado Contraparte,"Consultar los grupos conectados de una contraparte según reglas de riesgo, accediendo a la información definida para entender su composición y relaciones relevantes dentro del análisis.",1,Componente de Procesos,"Consultar grupo, Verificar vínculo, Revisar relación",No aplica Dominio AP,No aplica Arquetipo,,Diseño Pendiente
CMF09,Consultar Información Del Empleado,"Consultar la información registrada del empleado según los criterios definidos, accediendo a datos confiables para soportar procesos internos que requieran esta referencia.",1,Componente de Procesos,"Consultar empleado, Verificar empleado, Revisar empleado",No aplica Dominio AP,No aplica Arquetipo,https://bancolombia.sharepoint.com/:u:/r/sites/co-apr/Documentos%20compartidos/Dise%C3%B1o/Componentes%20reusables/CMF09%20Consultar%20informaci%C3%B3n%20del%20empleado.bpm,Diseño para la automatización CMF09
CMF10,Generar Pagaré Electrónico,"Generar el pagaré electrónico o la carta de instrucciones con los datos capturados, creando un documento digital válido y seguro para avanzar en el proceso correspondiente.",1,Componente de Procesos,"Crear pagaré, Diligenciar pagaré, Emitir pagaré",No aplica Dominio AP,No aplica Arquetipo,https://bancolombia.sharepoint.com/:u:/r/sites/co-apr/Documentos%20compartidos/Dise%C3%B1o/Componentes%20reusables/CMF10%20Generar%20Pagar%C3%A9%20Electronico.bpm,Diseño para la automatización CMF10
CMF13,Generar Información Para Trazabilidad,"Generar información para trazabilidad construyendo una secuencia clara y cronológica de los eventos de un caso o proceso, facilitando el seguimiento, el control y la toma de decisiones.",1,Componente de Procesos,"Registrar traza, Consolidar evidencia, Registrar seguimiento",No aplica Dominio AP,No aplica Arquetipo,https://bancolombia.sharepoint.com/:u:/r/sites/co-apr/Documentos%20compartidos/Dise%C3%B1o/Componentes%20reusables/CMF13%20Generar%20informaci%C3%B3n%20para%20trazabilidad.bpm,Diseño para la automatización CMF13
CMF15,Realizar Avalúo,"Realizar el avalúo valorando un activo según sus características y el comportamiento del mercado, con el fin de determinar un valor justo que soporte análisis financieros y decisiones de riesgo.",1,Componente de Procesos,"Valorar activo, Estimar activo, Evaluar inmueble",No aplica Dominio AP,No aplica Arquetipo,,Diseño Pendiente
CMF16,Consultar Listas Restrictivas,"Consultar listas restrictivas de personas, entidades o bienes para identificar riesgos asociados y cumplir los controles definidos por política o regulación.",1,Componente de Procesos,"Consultar lista, Consultar restricción, Consultar cumplimiento",No aplica Dominio AP,No aplica Arquetipo,,Diseño Pendiente
CMP75,Asignar Solicitud,"Asignar o escalar una solicitud al área o responsable adecuado según prioridad, complejidad o capacidad de atención, asegurando que sea gestionada en los tiempos definidos.",1,Componente de Procesos,"Asignar caso, Reasignar caso, Escalar solicitud",No aplica Dominio AP,No aplica Arquetipo,https://bancolombia.sharepoint.com/:u:/r/sites/co-apr/Documentos%20compartidos/Dise%C3%B1o/Componentes%20reusables/CMP75%20Asigar-Escalar%20Solicitud.bpm,Diseño para la automatización CMP75
CMP77,Aprobar Solicitud,Aprobar una solicitud tomando una decisión formal y registrada sobre si cumple los criterios establecidos para continuar. Se utiliza cuando el proceso requiere un pronunciamiento explícito de aprobación o rechazo.,1,Componente de Procesos,"Emitir concepto, Decidir solicitud, Autorizar solicitud",No aplica Dominio AP,No aplica Arquetipo,,Diseño Pendiente
