codigo_proceso,t2.procedimiento,match de actividad encontrada,capacidades,Dominio,Subdominio Nivel 1,Subdominio Nivel 2
T050402,T050402 Gestionar requerimientos legal desembargo sobre clientes,aplicar reglas de negocio ,Aplicar reglas de negocio,Gestión de la información,Analítica Avanzada,Analítica descriptiva
T050402,T050402 Gestionar requerimientos legal desembargo sobre clientes,aplicar reglas de negocio ,Aplicar reglas de negocio,Estrategia de los negocios,Modelo de Precio (pricing),No aplica
T050402,T050402 Gestionar requerimientos legal desembargo sobre clientes,aplicar reglas de negocio ,Aplicar reglas de negocio,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Analítica descriptiva
T050402,Gestionar requerimientos legal desembargo sobre clientes,aplicar reglas de negocio ,Aplicar reglas de negocio,Gestión de la información,Analítica Avanzada,Analítica descriptiva
T050402,Gestionar requerimientos legal desembargo sobre clientes,aplicar reglas de negocio ,Aplicar reglas de negocio,Estrategia de los negocios,Modelo de Precio (pricing),No aplica
T050402,Gestionar requerimientos legal desembargo sobre clientes,aplicar reglas de negocio ,Aplicar reglas de negocio,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Analítica descriptiva
T081001,Reversar comisión e IVA de comisión,consultar información ,Consultar información,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
T160667,Administrar Información de Ecosistemas,almacenar información ,Almacenar información,Estrategia de los negocios,Modelo de Precio (pricing),No aplica
T160667,Administrar Información de Ecosistemas,almacenar información ,Almacenar información,Gestión de la información,Analítica Avanzada,Analítica descriptiva
T160667,Administrar Información de Ecosistemas,almacenar información ,Almacenar información,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Analítica descriptiva
T160668,Atender requerimientos Clientes y Aliados,realizar investigación ,Realizar investigación,Clientes,Estrategia de Clientes,Servicio
T160668,Atender requerimientos Clientes y Aliados,realizar investigación ,Realizar investigación,Estrategia de los negocios,Modelo de Precio (pricing),No aplica
T160668,Atender requerimientos Clientes y Aliados,realizar investigación ,Realizar investigación,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Servicio
T160668,Atender requerimientos Clientes Tu360Movilidad,realizar investigación ,Realizar investigación,Clientes,Estrategia de Clientes,Servicio
T160668,Atender requerimientos Clientes Tu360Movilidad,realizar investigación ,Realizar investigación,Estrategia de los negocios,Modelo de Precio (pricing),No aplica
T160668,Atender requerimientos Clientes Tu360Movilidad,realizar investigación ,Realizar investigación,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Servicio
PAN050802,Vinculación gestionada por comercial,segmentar cliente ,Segmentar cliente,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,capturar datos ,Capturar datos,Clientes,Relacionamiento con el cliente,Conocimiento
PAN050802,Vinculación Centralizada,segmentar cliente ,Segmentar cliente,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
PAN050802,Vinculación Centralizada,realizar investigación ,Realizar investigación,Clientes,Estrategia de Clientes,Servicio
PAN050802,Vinculación Centralizada,realizar investigación ,Realizar investigación,Estrategia de los negocios,Modelo de Precio (pricing),No aplica
PAN050802,Vinculación Centralizada,realizar investigación ,Realizar investigación,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Servicio
T051005,Crear o Vincular Potenciales Clientes,Evaluar debida diligencia,Evaluar debida diligencia,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
T051005,Crear o Vincular Potenciales Clientes,Registrar información en fuentes oficiales,Registrar información en fuentes oficiales,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
T051005,Crear o Vincular Potenciales Clientes,Establecer cláusulas  y condiciones de relacionamiento,Establecer cláusulas  y condiciones de relacionamiento,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
T051005,Crear o Vincular Potenciales Clientes,Identificar riesgos de cumplimiento,Identificar riesgos de cumplimiento,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
T051005,Crear o Vincular Potenciales Clientes,Obtener información y documentación,Obtener información y documentación,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
T051005,Crear o Vincular Potenciales Clientes,Perfilar estado del cliente,Perfilar estado del cliente,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
T160112,Constituir Garantías FNG y FAG,capturar información ,Capturar información,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
T160112,Constituir Garantía FNG y FAG,capturar información ,Capturar información,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
T160615,Conciliar Transacciones Botón Bancolombia,consultar información ,Consultar información,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
T160615,Conciliar Transacciones Aceptación Digital,consultar información ,Consultar información,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
T160657,Generar Informes y Reportes Factoring,almacenar información ,Almacenar información,Estrategia de los negocios,Modelo de Precio (pricing),No aplica
T160657,Generar Informes y Reportes Factoring,almacenar información ,Almacenar información,Gestión de la información,Analítica Avanzada,Analítica descriptiva
T160657,Generar Informes y Reportes Factoring,almacenar información ,Almacenar información,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Analítica descriptiva
T051904,Administrar información para los modelos de atención,capturar información ,Capturar información,Prueba dominio dueño,Prueba sudominio N1,Prueba subdominio N2
T160269,Requerimientos Legales,registrar la solicitud ,Registrar la solicitud,Clientes,Estrategia de Clientes,Servicio
T160269,Requerimientos Legales,registrar la solicitud ,Registrar la solicitud,Estrategia de los negocios,Modelo de Precio (pricing),No aplica
T160269,Requerimientos Legales,registrar la solicitud ,Registrar la solicitud,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Servicio
T160659,Novedades SPBVI,autenticar al cliente ,Autenticar al cliente,Habilitación Empresarial,Gestión de la seguridad,Ciberseguridad
T160659,Novedades SPBVI,autenticar al cliente ,Autenticar al cliente,Habilitación Empresarial,Gestión de la seguridad,Por definir
PAN050305,Gestionar requerimientos de clientes,recopilar información ,Recopilar información,Estrategia de los negocios,Modelo de Precio (pricing),No aplica
PAN050305,Gestionar requerimientos de clientes,recopilar información ,Recopilar información,Gestión de la información,Analítica Avanzada,Analítica descriptiva
PAN050305,Gestionar requerimientos de clientes,recopilar información ,Recopilar información,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Analítica descriptiva
PAN050305,Gestionar experiencia y requerimientos de clientes,recopilar información ,Recopilar información,Estrategia de los negocios,Modelo de Precio (pricing),No aplica
PAN050305,Gestionar experiencia y requerimientos de clientes,recopilar información ,Recopilar información,Gestión de la información,Analítica Avanzada,Analítica descriptiva
PAN050305,Gestionar experiencia y requerimientos de clientes,recopilar información ,Recopilar información,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Analítica descriptiva
T051005,Crear o Vincular Potenciales Clientes,Capturar datos,Capturar datos,Clientes,Relacionamiento con el cliente,Conocimiento
